id,title,upload_date,air_date,era,type,series,episode,url,thumbnail,members,subtitles,duration_sec,description,status,view_count,like_count
mv-188,BTS (방탄소년단) 'FAKE LOVE' Official MV (Extended ver.),2018-06-01,2018-06-01,,MV,MVs,,https://www.youtube.com/watch?v=D_6QmL6rExk,https://img.youtube.com/vi/D_6QmL6rExk/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,382,,active,56717808,3060725
mv-189,BTS (방탄소년단) 'FAKE LOVE' Official MV,2018-05-18,2018-05-18,,MV,MVs,,https://www.youtube.com/watch?v=7C2z4GqqS5E,https://img.youtube.com/vi/7C2z4GqqS5E/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,319,,active,1395563193,22410166
mv-190,BTS (방탄소년단) 'FAKE LOVE' Official Teaser 2,2018-05-16,2018-05-16,,MV,MVs,,https://www.youtube.com/watch?v=2tDKp41nrw8,https://img.youtube.com/vi/2tDKp41nrw8/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,29,,active,18491824,1995082
mv-191,BTS (방탄소년단) 'FAKE LOVE' Official Teaser 1,2018-05-14,2018-05-14,,MV,MVs,,https://www.youtube.com/watch?v=BP71K87Hp5Y,https://img.youtube.com/vi/BP71K87Hp5Y/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,115,,active,21923857,2245962
mv-192,BTS (방탄소년단) LOVE YOURSELF 轉 Tear 'Singularity' Comeback Trailer,2018-05-06,2018-05-06,,MV,MVs,,https://www.youtube.com/watch?v=p8npDG2ulKQ,https://img.youtube.com/vi/p8npDG2ulKQ/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,213,,active,203559971,6598347
mv-193,BTS (방탄소년단) 'Euphoria : Theme of LOVE YOURSELF 起 Wonder',2018-04-05,2018-04-05,,MV,MVs,,https://www.youtube.com/watch?v=kX0vO4vlJuU,https://img.youtube.com/vi/kX0vO4vlJuU/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,533,,active,121049972,7236330
mv-194,j-hope 'Airplane' MV,2018-03-06,2018-03-06,,MV,MVs,,https://www.youtube.com/watch?v=8O_MwlZ2dEg,https://img.youtube.com/vi/8O_MwlZ2dEg/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,202,,active,70910421,3999160
mv-195,j-hope 'Daydream (백일몽)' MV,2018-03-01,2018-03-01,,MV,MVs,,https://www.youtube.com/watch?v=OK3GJ0WIQ8s,https://img.youtube.com/vi/OK3GJ0WIQ8s/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,229,,active,172195836,6899839
mv-196,BTS (防弾少年団) 'MIC Drop -Japanese ver.-' Official MV,2017-12-05,2017-12-05,,MV,MVs,,https://www.youtube.com/watch?v=8mBHDHIb-kM,https://img.youtube.com/vi/8mBHDHIb-kM/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,270,,active,36286665,977777
mv-197,BTS (방탄소년단) 'MIC Drop (Steve Aoki Remix)' Official MV,2017-11-24,2017-11-24,,MV,MVs,,https://www.youtube.com/watch?v=kTlv5_Bs8aw,https://img.youtube.com/vi/kTlv5_Bs8aw/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,274,,active,1586061222,21785968
mv-198,BTS (防弾少年団) 'MIC Drop -Japanese ver.-' (Short ver.) Official MV,2017-11-24,2017-11-24,,MV,MVs,,https://www.youtube.com/watch?v=TxyHwwYe86Q,https://img.youtube.com/vi/TxyHwwYe86Q/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,141,,active,5906631,404049
mv-199,BTS (방탄소년단) 'MIC Drop (Steve Aoki Remix)' Official Teaser,2017-11-16,2017-11-16,,MV,MVs,,https://www.youtube.com/watch?v=ixxR3ZoqnF0,https://img.youtube.com/vi/ixxR3ZoqnF0/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,60,,active,14931126,1465361
mv-200,BTS (방탄소년단) 'DNA' Official MV,2017-09-18,2017-09-18,,MV,MVs,,https://www.youtube.com/watch?v=MBdVXkSdhwU,https://img.youtube.com/vi/MBdVXkSdhwU/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,256,,active,1664752269,23624544
mv-201,BTS (방탄소년단) 'DNA' Official Teaser 2,2017-09-15,2017-09-15,,MV,MVs,,https://www.youtube.com/watch?v=g_wuoInNyAI,https://img.youtube.com/vi/g_wuoInNyAI/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,30,,active,20814091,1455382
mv-202,BTS (방탄소년단) 'DNA' Official Teaser 1,2017-09-14,2017-09-14,,MV,MVs,,https://www.youtube.com/watch?v=FSOxXsYVJMQ,https://img.youtube.com/vi/FSOxXsYVJMQ/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,57,,active,33468464,2162979
mv-203,BTS (방탄소년단) LOVE YOURSELF 承 Her 'Serendipity' Comeback Trailer,2017-09-04,2017-09-04,,MV,MVs,,https://www.youtube.com/watch?v=BEMaH9Sm3lQ,https://img.youtube.com/vi/BEMaH9Sm3lQ/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,152,,active,190064056,5962672
mv-204,BTS (방탄소년단) LOVE YOURSELF Highlight Reel '起承轉結',2017-08-18,2017-08-18,,MV,MVs,,https://www.youtube.com/watch?v=EHdK5U2hf4o,https://img.youtube.com/vi/EHdK5U2hf4o/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,783,,active,37054693,2786376
mv-205,BTS (방탄소년단) LOVE YOURSELF Highlight Reel '轉',2017-08-17,2017-08-17,,MV,MVs,,https://www.youtube.com/watch?v=Oj-zYDbw1Co,https://img.youtube.com/vi/Oj-zYDbw1Co/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,182,,active,12102088,1046667
mv-206,BTS (방탄소년단) LOVE YOURSELF Highlight Reel '承',2017-08-16,2017-08-16,,MV,MVs,,https://www.youtube.com/watch?v=o75Y9XWLY9M,https://img.youtube.com/vi/o75Y9XWLY9M/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,212,,active,12620205,1096500
mv-207,BTS (방탄소년단) LOVE YOURSELF Highlight Reel '起',2017-08-15,2017-08-15,,MV,MVs,,https://www.youtube.com/watch?v=Oqksx-xkSg8,https://img.youtube.com/vi/Oqksx-xkSg8/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,295,,active,20054181,1615908
mv-208,BTS (防弾少年団) '血、汗、涙 -Japanese Ver.-' Official MV,2017-05-09,2017-05-09,,MV,MVs,,https://www.youtube.com/watch?v=7OX7dIRReSA,https://img.youtube.com/vi/7OX7dIRReSA/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,253,,active,56120258,1883146
mv-209,BTS (防弾少年団) '血、汗、涙 -Japanese Ver.-' Official Teaser,2017-05-01,2017-05-01,,MV,MVs,,https://www.youtube.com/watch?v=Bbq-XZOoSYw,https://img.youtube.com/vi/Bbq-XZOoSYw/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,20,,active,4698809,270596
mv-210,"RM, Wale ‘Change’",2017-03-19,2017-03-19,,MV,MVs,,https://www.youtube.com/watch?v=9rAyprZdo7o,https://img.youtube.com/vi/9rAyprZdo7o/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,290,,active,24541259,1731171
mv-211,BTS (방탄소년단) 'Not Today' Official MV (Choreography Version),2017-02-26,2017-02-26,,MV,MVs,,https://www.youtube.com/watch?v=nKDppUjuvdM,https://img.youtube.com/vi/nKDppUjuvdM/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,482,,active,72422502,1848651
mv-212,BTS (방탄소년단) 'Not Today' Official MV,2017-02-19,2017-02-19,,MV,MVs,,https://www.youtube.com/watch?v=9DwzBICPhdM,https://img.youtube.com/vi/9DwzBICPhdM/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,291,,active,626942369,10166144
mv-213,BTS (방탄소년단) '봄날 (Spring Day)' Official MV,2017-02-12,2017-02-12,,MV,MVs,,https://www.youtube.com/watch?v=xEeFrLSkMm8,https://img.youtube.com/vi/xEeFrLSkMm8/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,329,,active,572970449,10432737
mv-214,BTS (방탄소년단) 'Not Today' Official Teaser,2017-02-10,2017-02-10,,MV,MVs,,https://www.youtube.com/watch?v=w-9GwVG83nQ,https://img.youtube.com/vi/w-9GwVG83nQ/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,34,,active,8773752,741821
mv-215,BTS (방탄소년단) '봄날 (Spring Day)' Official Teaser,2017-02-09,2017-02-09,,MV,MVs,,https://www.youtube.com/watch?v=fUZlQGxsnJY,https://img.youtube.com/vi/fUZlQGxsnJY/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,61,,active,14778539,1343165
mv-216,BTS (방탄소년단) '피 땀 눈물 (Blood Sweat & Tears)' Official MV,2016-10-09,2016-10-09,,MV,MVs,,https://www.youtube.com/watch?v=hmE9f-TEutc,https://img.youtube.com/vi/hmE9f-TEutc/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,364,,active,1040647589,15547969
mv-217,BTS (방탄소년단) '피 땀 눈물 (Blood Sweat & Tears)' Official Teaser,2016-10-06,2016-10-06,,MV,MVs,,https://www.youtube.com/watch?v=iEjqStYLyVQ,https://img.youtube.com/vi/iEjqStYLyVQ/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,37,,active,13723396,1044010
